Año,Región,Sector Económico,Empresa,Número de Accidentes
2020,Andina,Minería,Mineralco,48
2020,Orinoquía,Manufactura,,31
2022,Andina,Educación,Ferroandes,40
2021,Pacífica,Salud,Ferroandes,51
2020,Caribe,Agroindustria,Mineralco,34
2022,Caribe,,AgroCampo,8
2021,Andina,Salud,AgroCampo,26
2022,,Transporte,,16
2022,Andina,Salud,,58
2020,Pacífica,Transporte,Concretos del Valle,37
2022,Caribe,Manufactura,Concretos del Valle,39
2020,Orinoquía,Construcción,TransCaribe,17
2022,Orinoquía,Educación,Prosegur,52
2020,Orinoquía,Transp0rte,Concretos del Valle,13
2022,Orinoquía,Agroindustria,Concretos del Valle,31
2023,Pacífica,Agroindustria,AgroCampo,58
2022,Andina,Construcción,Mineralco,30
2020,Andina,Transporte,Mineralco,30
2021,,Educación,Colsalud S.A.,43
2022,Andina,Minería,Prosegur,19
2021,Orinoquía,Salud,AgroCampo,30
2021,Caribe,Minería,Logística Express,250
2022,Pacífica,Minería,Colsalud S.A.,33
2022,Pacífica,Educación,Educando SAS,56
2020,Andina,Construcción,,25
2022,Amazonía,Agroindustria,Mineralco,14
2022,Pacífica,Manufactura,TransCaribe,38
2020,Orinoquía,Transporte,Colsalud S.A.,5
2022,Orinoquía,Construcción,Salud Total,20
2022,Orinoquía,Minería,Salud Total,60
2022,Pacífica,Salud,Educando SAS,41
2020,Amazonía,Educación,Salud Total,55
2021,,Educación,AgroCampo,16
2022,Pacífica,Transporte,Educando SAS,21
2022,Orinoquía,Salud,Colsalud S.A.,36
2020,Amazonía,Transporte,Colsalud S.A.,20
2023,Amazonía,Manufactura,Prosegur,44
2021,Pacífica,Salud,Ferroandes,44
2023,Amazonía,Construcción,Ferroandes,55
2022,Andina,Agroindustria,Educando SAS,23
2020,Caribe,Minería,,6
2022,Pacífica,,TransCaribe,16
2022,Orinoquía,Salud,Prosegur,39
2021,Andina,Agroindustria,Concretos del Valle,6
2022,,Transporte,Educando SAS,34
2022,Pacífica,Construcción,Educando SAS,9
2022,Andina,Agroindustria,Ferroandes,8
2021,Andina,Salud,Mineralco,36
2022,Caribe,Educación,Ferroandes,8
2021,Andina,Salud,Educando SAS,49
2022,Caribe,Salud,Colsalud S.A.,57
2020,Caribe,Transporte,Mineralco,19
2021,Andina,Educación,TransCaribe,19
2021,Amazonía,Minería,TransCaribe,44
2020,Andina,Educación,AgroCampo,22
2023,Pacífica,Construcción,Logística Express,8
2020,Andina,Construcción,Colsalud S.A.,28
2022,Orinoquía,Construcción,Educando SAS,35
2020,Amazonía,Manufactura,Salud Total,40
2023,Amazonía,Minería,,33
2022,Orinoquía,Minería,Educando SAS,47
2021,Andina,Transporte,Colsalud S.A.,51
2021,Orinoquía,Agroindustria,TransCaribe,23
2023,Amazonía,Transporte,TransCaribe,12
2020,,Educación,TransCaribe,45
2023,Andina,Salud,Salud Total,38
2023,Caribe,Minería,TransCaribe,59
2021,Pacífica,Agroindustria,Ferroandes,58
2021,Amazonía,Minería,Ferroandes,25
2023,Andina,Minería,Concretos del Valle,10
2020,,,,34
2023,Amazonía,Salud,Logística Express,36
2022,Pacífica,Manufactura,Ferroandes,7
2022,Orinoquía,Transporte,,14
2020,,Salud,Prosegur,41
2020,Amazonía,Manufactura,Logística Express,41
2021,Caribe,Manufactura,Salud Total,30
2022,Pacífica,Salud,Educando SAS,17
2021,Andina,Agroindustria,Concretos del Valle,6
2020,Caribe,Transporte,Colsalud S.A.,41
2021,Orinoquía, Salud,Mineralco,24
2022,Caribe,Manufactura,Concretos del Valle,39
2021,Pacífica,Salud,Ferroandes,51
2021,Pacífica,Construcción,Mineralco,36
2021,Andina,Agroindustria,Mineralco,12
2022,Caribe,Educación,TransCaribe,33
2023,Pacífica,Salud,Prosegur,51
